question,hops,cypher_query,thinking,context,split
Có bao nhiêu người từng làm việc trong cùng lĩnh vực với những người đã nhận giải Nobel Vật lý?,4,"MATCH (a:Award {name: ""Nobel Prize in Physics""})<-[:IS_INSTANCE_OF]-(ast:AwardStatement)<-[:RECEIVED]-(p1:Person)-[:WORKS_IN_FIELD]->(f:Field)<-[:WORKS_IN_FIELD]-(p2:Person) RETURN p2.name","Step 1: Translate to English: 'How many people have worked in the same field as people who received the Nobel Prize in Physics?'
Step 2: Identify entities: 'people', 'same field', 'received Nobel Prize in Physics'. Intent: Count people.
Step 3: Map keywords to schema: 'received Nobel Prize in Physics' -> (p1:Person)-[:RECEIVED]->(:AwardStatement)-[:IS_INSTANCE_OF]->(Award {name: ""Nobel Prize in Physics""}). 'worked in the same field' -> (p2:Person)-[:WORKS_IN_FIELD]->(f:Field)<-[:WORKS_IN_FIELD]-(p1:Person).
Step 4: Construct MATCH clause: MATCH (p1:Person)-[:RECEIVED]->(:AwardStatement)-[:IS_INSTANCE_OF]->(Award {name: ""Nobel Prize in Physics""}), (p1)-[:WORKS_IN_FIELD]->(f:Field)<-[:WORKS_IN_FIELD]-(p2:Person) RETURN count(DISTINCT p2).","Relevant Nodes:
""Award"": properties: [""name""]
""AwardStatement"": properties: [""name"", ""year"", ""motivation""]
""Field"": properties: [""name""]
""Person"": properties: [""id"", ""name"", ""family_name"", ""gender"", ""born_on_date"", ""died_on_date"", ""notable_work""]

Relevant Relationships:
(:AwardStatement)-[:IS_INSTANCE_OF]->(:Award)
(:Person)-[:RECEIVED]->(:AwardStatement)
(:Person)-[:WORKS_IN_FIELD]->(:Field)",train
Julian Schwinger sinh ngày bao nhiêu?,1,"MATCH (p:Person {name: ""Julian Schwinger""}) RETURN p.born_on_date","Step 1: Translate to English: 'What date was Julian Schwinger born?'
Step 2: Identify entity 'Julian Schwinger' and intent 'birth date'.
Step 3: Map 'Julian Schwinger' to property 'name' of node 'Person', and 'birth date' to property 'born_on_date' of node 'Person'.
Step 4: Construct MATCH (p:Person {name: 'Julian Schwinger'}) RETURN p.born_on_date.","Relevant Nodes:
""Person"": properties: [""id"", ""name"", ""family_name"", ""gender"", ""born_on_date"", ""died_on_date"", ""notable_work""]",train
Những người nào khác có cùng quốc tịch với Bob Dylan?,2,"MATCH (p1:Person {name: ""Bob Dylan""})-[:IS_CITIZEN_OF]->(c:Country)<-[:IS_CITIZEN_OF]-(p2:Person) RETURN p2.name","Step 1: Translate to English: 'Which other people have the same nationality as Bob Dylan?'
Step 2: Identify entities 'Bob Dylan' and intent 'find other people with same nationality'.
Step 3: Map 'people' to ':Person', 'nationality' to ':IS_CITIZEN_OF' and ':Country', 'same nationality as Bob Dylan' to finding the country Bob Dylan is a citizen of and then finding other people who are citizens of that same country.
Step 4: Construct MATCH (p1:Person {name: ""Bob Dylan""})-[:IS_CITIZEN_OF]->(c:Country)<-[:IS_CITIZEN_OF]-(p2:Person) RETURN p2.name.","Relevant Nodes:
""Country"": properties: [""name""]
""Person"": properties: [""id"", ""name"", ""family_name"", ""gender"", ""born_on_date"", ""died_on_date"", ""notable_work""]

Relevant Relationships:
(:Person)-[:IS_CITIZEN_OF]->(:Country)",train
Những người làm việc trong lĩnh vực của những người đã nhận Giải thưởng Khoa học Kinh tế tưởng nhớ Alfred Nobel là ai?,4,"MATCH (a:Award {name: ""Prize in Economic Sciences in Memory of Alfred Nobel""})<-[:IS_INSTANCE_OF]-(ast:AwardStatement)<-[:RECEIVED]-(p1:Person)-[:WORKS_IN_FIELD]->(f:Field)<-[:WORKS_IN_FIELD]-(p2:Person) RETURN p2.name","Step 1: Translate the Vietnamese question into English: 'Who are the people who work in the field of people who received the Prize in Economic Sciences in Memory of Alfred Nobel?'
Step 2: Identify entities: 'Prize in Economic Sciences in Memory of Alfred Nobel', 'people who work in the field', and intent 'find names'.
Step 3: Map keywords to the English Schema: 'Prize in Economic Sciences in Memory of Alfred Nobel' to `Award.name`, 'people who received' to `Person-[:RECEIVED]->AwardStatement`, 'work in the field' to `Person-[:WORKS_IN_FIELD]->Field`, 'people' to `Person.name`.
Step 4: Construct the MATCH and RETURN clauses logic: Find `AwardStatement` instances of the specific `Award`, then find `Person` who `RECEIVED` these `AwardStatement`s. Then find `Field`s these `Person`s `WORKS_IN_FIELD`. Finally, find other `Person`s (`p2`) who `WORKS_IN_FIELD` in those same `Field`s and return their names.","Relevant Nodes:
""Award"": properties: [""name""]
""AwardStatement"": properties: [""name"", ""year"", ""motivation""]
""Field"": properties: [""name""]
""Person"": properties: [""id"", ""name"", ""family_name"", ""gender"", ""born_on_date"", ""died_on_date"", ""notable_work""]

Relevant Relationships:
(:AwardStatement)-[:IS_INSTANCE_OF]->(:Award)
(:Person)-[:RECEIVED]->(:AwardStatement)
(:Person)-[:WORKS_IN_FIELD]->(:Field)",train
Masatoshi Koshiba làm nghề gì?,1,"MATCH (p:Person {name: ""Masatoshi Koshiba""})-[:WORKS_AS]->(o:Occupation) RETURN o.name","Step 1: Translate to English: 'What is Masatoshi Koshiba\'s occupation?'
Step 2: Identify entity 'Masatoshi Koshiba' (a Person) and intent to find their 'occupation'.
Step 3: Map 'Masatoshi Koshiba' to property 'Person.name'. Map 'occupation' to the 'Occupation' node and its 'name' property. The relationship between Person and Occupation is 'WORKS_AS'.
Step 4: Construct MATCH (p:Person {name: 'Masatoshi Koshiba'})-[:WORKS_AS]->(o:Occupation) RETURN o.name.","Relevant Nodes:
""Occupation"": properties: [""name""]
""Person"": properties: [""id"", ""name"", ""family_name"", ""gender"", ""born_on_date"", ""died_on_date"", ""notable_work""]

Relevant Relationships:
(:Person)-[:WORKS_AS]->(:Occupation)",train
Ai đã từng làm việc trong cùng lĩnh vực với những người đã từng nhận giải Nobel Vật lý và Sinh lý học?,4,"MATCH (a:Award {name: ""Nobel Prize in Physiology or Medicine""})<-[:IS_INSTANCE_OF]-(ast:AwardStatement)<-[:RECEIVED]-(p1:Person)-[:WORKS_IN_FIELD]->(f:Field)<-[:WORKS_IN_FIELD]-(p2:Person) RETURN p2.name","Step 1: Translate to English: 'Who has worked in the same field as people who have received the Nobel Prize in Physiology or Medicine?'
Step 2: Identify entities: 'people who have received the Nobel Prize in Physiology or Medicine', 'same field'. Intent: Find people who work in the same field.
Step 3: Map keywords: 'Nobel Prize in Physiology or Medicine' to node 'Award' and its property 'name'. 'received' to relationship ':RECEIVED'. 'same field' to relationship ':WORKS_IN_FIELD' and node 'Field'.
Step 4: Construct MATCH (a:Award {name: ""Nobel Prize in Physiology or Medicine""})<-[:IS_INSTANCE_OF]-(ast:AwardStatement)<-[:RECEIVED]-(p1:Person)-[:WORKS_IN_FIELD]->(f:Field)<-[:WORKS_IN_FIELD]-(p2:Person) RETURN p2.name.","Relevant Nodes:
""Award"": properties: [""name""]
""AwardStatement"": properties: [""name"", ""year"", ""motivation""]
""Field"": properties: [""name""]
""Person"": properties: [""id"", ""name"", ""family_name"", ""gender"", ""born_on_date"", ""died_on_date"", ""notable_work""]

Relevant Relationships:
(:AwardStatement)-[:IS_INSTANCE_OF]->(:Award)
(:Person)-[:RECEIVED]->(:AwardStatement)
(:Person)-[:WORKS_IN_FIELD]->(:Field)",train
Ai làm việc trong lĩnh vực mà những người nhận Giải thưởng Nobel về Sinh lý học hoặc Y học cũng làm việc?,4,"MATCH (a:Award {name: ""Nobel Prize in Physiology or Medicine""})<-[:IS_INSTANCE_OF]-(ast:AwardStatement)<-[:RECEIVED]-(p1:Person)-[:WORKS_IN_FIELD]->(f:Field)<-[:WORKS_IN_FIELD]-(p2:Person) RETURN p2.name","Step 1: Translate to English: 'Who works in the field that the recipients of the Nobel Prize in Physiology or Medicine also work in?'
Step 2: Identify entities: 'Nobel Prize in Physiology or Medicine' (Award), 'recipients' (Person), 'field' (Field). Intent: Find people working in the same field as award recipients.
Step 3: Map keywords to schema: 'Nobel Prize in Physiology or Medicine' to `Award.name`. 'recipients' to `Person` node and `RECEIVED` relationship. 'field' to `Field` node and `WORKS_IN_FIELD` relationship. 'AwardStatement' connects Award and Person.
Step 4: Construct MATCH clause: Find `Person` (p1) who `RECEIVED` an `AwardStatement` which `IS_INSTANCE_OF` the specified `Award`. Find the `Field` (f) these `Person` (p1) `WORKS_IN_FIELD`. Then, find other `Person` (p2) who also `WORKS_IN_FIELD` that same `Field` (f). RETURN clause: Return the names of these `Person` (p2). The query is: MATCH (a:Award {name: ""Nobel Prize in Physiology or Medicine""})<-[:IS_INSTANCE_OF]-(ast:AwardStatement)<-[:RECEIVED]-(p1:Person)-[:WORKS_IN_FIELD]->(f:Field)<-[:WORKS_IN_FIELD]-(p2:Person) RETURN p2.name","Relevant Nodes:
""Award"": properties: [""name""]
""AwardStatement"": properties: [""name"", ""year"", ""motivation""]
""Field"": properties: [""name""]
""Person"": properties: [""id"", ""name"", ""family_name"", ""gender"", ""born_on_date"", ""died_on_date"", ""notable_work""]

Relevant Relationships:
(:AwardStatement)-[:IS_INSTANCE_OF]->(:Award)
(:Person)-[:RECEIVED]->(:AwardStatement)
(:Person)-[:WORKS_IN_FIELD]->(:Field)",train
Philip H. Dybvig là công dân của nước nào?,1,"MATCH (p:Person {name: ""Philip H. Dybvig""})-[:IS_CITIZEN_OF]->(c:Country) RETURN c.name","Step 1: Translate to English: 'What country is Philip H. Dybvig a citizen of?'
Step 2: Identify entity 'Philip H. Dybvig' and intent 'citizenship country'.
Step 3: Map entity to node 'Person' with property 'name' and intent to relationship 'IS_CITIZEN_OF' to node 'Country' with property 'name'.
Step 4: Construct the MATCH (p:Person {name: ""Philip H. Dybvig""})-[:IS_CITIZEN_OF]->(c:Country) RETURN c.name.","Relevant Nodes:
""Country"": properties: [""name""]
""Person"": properties: [""id"", ""name"", ""family_name"", ""gender"", ""born_on_date"", ""died_on_date"", ""notable_work""]

Relevant Relationships:
(:Person)-[:IS_CITIZEN_OF]->(:Country)",train
"Liệt kê tên những người đã tham gia vào một sự kiện, thành lập một tổ chức và phát triển một công trình nổi bật?",4,"MATCH (e:Event)<-[:PARTICIPATED_IN]-(p:Person), (o:Organization)<-[:FOUNDED]-(p), (p)-[:DEVELOPED]->(nw:Notable_Work) RETURN p.name, o.name, nw.name","Step 1: Translate to English: 'List the names of people who participated in an event, founded an organization, and developed a notable work.'
Step 2: Identify entities: 'people' (Person), 'event' (Event), 'organization' (Organization), 'notable work' (Notable_Work). Intent: List names based on participation in an event, founding an organization, and developing a notable work.
Step 3: Map keywords to English Schema: 'participated in' -> [:PARTICIPATED_IN], 'founded' -> [:FOUNDED], 'developed' -> [:DEVELOPED].
Step 4: Construct the MATCH and RETURN clauses. We need to find a Person (p) connected to an Event (e) via [:PARTICIPATED_IN], connected to an Organization (o) via [:FOUNDED], and connected to a Notable_Work (nw) via [:DEVELOPED]. The RETURN clause should list the person's name (p.name), the organization's name (o.name), and the notable work's name (nw.name). MATCH (p:Person)-[:PARTICIPATED_IN]->(e:Event), (p)-[:FOUNDED]->(o:Organization), (p)-[:DEVELOPED]->(nw:Notable_Work) RETURN p.name, o.name, nw.name","Relevant Nodes:
""Event"": properties: [""name"", ""date""]
""Notable_Work"": properties: [""name"", ""description""]
""Organization"": properties: [""name""]
""Person"": properties: [""id"", ""name"", ""family_name"", ""gender"", ""born_on_date"", ""died_on_date"", ""notable_work""]

Relevant Relationships:
(:Person)-[:DEVELOPED]->(:Notable_Work)
(:Person)-[:FOUNDED]->(:Organization)
(:Person)-[:PARTICIPATED_IN]->(:Event)",train
Ngày sinh của Charles G. Dawes là gì?,1,"MATCH (p:Person {name: ""Charles G. Dawes""}) RETURN p.born_on_date","Step 1: Translate to English: 'What is the birth date of Charles G. Dawes?'
Step 2: Identify entity 'Charles G. Dawes' and intent 'birth date'.
Step 3: Map 'birth date' to the property 'born_on_date' for the 'Person' node.
Step 4: Construct the MATCH clause for the Person node with the name 'Charles G. Dawes' and return the 'born_on_date' property.","Relevant Nodes:
""Person"": properties: [""id"", ""name"", ""family_name"", ""gender"", ""born_on_date"", ""died_on_date"", ""notable_work""]",train
