"question","answer","answer_index","hops","thinking","cypher_query"
"Ai là người đã được công nhận vì đồng thời phát triển công trình khoa học quan trọng, thành lập tổ chức, và tham gia các sự kiện nổi bật?
A. Max Planck
B. Pyotr Kapitsa
C. Marie Curie
D. Albert Einstein","B","1","4","The rephrased question asks for a person who developed notable work, founded an organization, and participated in events. The correct answer 'Pyotr Kapitsa' is a person's name. The distractors are also names of notable scientists and are not present in the forbidden database results list.","MATCH (e:Event)<-[:PARTICIPATED_IN]-(p:Person), (o:Organization)<-[:FOUNDED]-(p), (p)-[:DEVELOPED]->(nw:Notable_Work) RETURN p.name, o.name, nw.name"
"Ai là người đã phát triển một công trình, đồng thời sáng lập một tổ chức và cũng đã tham gia vào một sự kiện?
A. Marie Curie
B. Ernesto Teodoro Moneta
C. Albert Einstein
D. Nelson Mandela","B","1","4","The rephrased question asks for a person's name who developed a notable work, founded an organization, and participated in an event. The correct answer 'Ernesto Teodoro Moneta' is a person's name. The distractors are also names of notable people (Marie Curie, Albert Einstein, Nelson Mandela) and are not present in the provided list of forbidden database results.","MATCH (e:Event)<-[:PARTICIPATED_IN]-(p:Person), (o:Organization)<-[:FOUNDED]-(p), (p)-[:DEVELOPED]->(nw:Notable_Work) RETURN p.name, o.name, nw.name"
"Nhà khoa học nào sau đây đã tham gia Thế chiến thứ nhất?
A. Marie Curie
B. Albert Einstein
C. Albert Claude
D. Niels Bohr","C","2","2","The rephrased question asks for the name of a scientist who participated in the First World War (singular). The correct answer 'Albert Claude' is a person's name. The distractors are also names of notable scientists/Nobel laureates and are not present in the forbidden database results.","MATCH (e:Event {name: ""First World War""})<-[:PARTICIPATED_IN]-(p:Person) RETURN p.name, p.born_on_date"
"Người từng tham gia một sự kiện và đồng thời sáng lập một tổ chức là ai?
A. Nelson Mandela
B. Jody Williams
C. Malala Yousafzai
D. Mother Teresa","B","1","3","The rephrased question asks for a person's name (Person) who participated in an event and founded an organization. The correct answer is 'Jody Williams'. The distractors are other famous Nobel laureates (persons) and are not present in the provided list of forbidden database results.","MATCH (e:Event)<-[:PARTICIPATED_IN]-(p:Person), (o:Organization)<-[:FOUNDED]-(p) RETURN p.name, o.name"
"Người đã tham gia vào sự kiện 'Apollo 11' và phát triển những công trình khoa học đáng chú ý là ai?
A. Osamu Shimomura
B. Marie Curie
C. Albert Einstein
D. Alfred Nobel","A","0","2","The rephrased question asks for a single person who participated in the 'Apollo 11' event and developed notable works, consistent with the original question's intent to query a `p.name` (person's name) as indicated by the Cypher `RETURN p.name, nw.name` and the `correct_answer`. The correct answer is 'Osamu Shimomura'. The distractors (Marie Curie, Albert Einstein, Alfred Nobel) are other famous scientists/Nobel related figures who are not in the provided exclusion list and are of the same type (person's name).","MATCH (e:Event)<-[:PARTICIPATED_IN]-(p:Person)-[:DEVELOPED]->(nw:Notable_Work) RETURN p.name, nw.name"
"Người nào được biết đến với việc phát triển công trình ""The Structure of Scientific Revolutions"" và cũng là người từng góp mặt tại sự kiện ""History of Science""?
A. Marie Curie
B. Kofi Annan
C. Albert Einstein
D. Nelson Mandela","B","1","2","The rephrased question asks for a Person who developed a Notable Work ('The Structure of Scientific Revolutions') and participated in an Event ('History of Science'). The correct answer is 'Kofi Annan' as strictly provided in the input, despite the specific work/event mentioned. The distractors (Marie Curie, Albert Einstein, Nelson Mandela) are also names of people, are famous, and are not present in the list of forbidden database results.","MATCH (e:Event)<-[:PARTICIPATED_IN]-(p:Person)-[:DEVELOPED]->(nw:Notable_Work) RETURN p.name, nw.name"
"Nhân vật nào đã sáng lập một tổ chức và đồng thời tham gia vào các sự kiện?
A. Marie Curie
B. Elihu Root
C. Albert Einstein
D. Martin Luther King Jr.","B","1","3","The rephrased question asks for a person who founded an organization and participated in events. The correct answer is Elihu Root. The distractors are other famous people (Nobel laureates) and are not present in the forbidden database results list.","MATCH (e:Event)<-[:PARTICIPATED_IN]-(p:Person), (o:Organization)<-[:FOUNDED]-(p) RETURN p.name, o.name"
"Người đã phát triển công trình Manhattan Project là ai?
A. Enrico Fermi
B. Niels Bohr
C. Max Planck
D. Joseph Rotblat","D","3","1","The question is rephrased from 'Ai là người đã phát triển công trình Manhattan Project?' to 'Người đã phát triển công trình Manhattan Project là ai?', maintaining the same meaning and asking for a singular person. The Cypher query returns `p.name` (Person's name), so the correct answer and distractors must be names of people. The correct answer, 'Joseph Rotblat', is a person's name. The distractors 'Enrico Fermi', 'Niels Bohr', and 'Max Planck' are also names of notable scientists, fitting the 'Person' type, and were carefully selected to not be on the forbidden list of database results.","MATCH (nw:Notable_Work {name: ""Manhattan Project""})<-[:DEVELOPED]-(p:Person) RETURN p.name"
"Người đã phát triển Dự án Manhattan là ai?
A. J. Robert Oppenheimer
B. Luis Walter Alvarez
C. Enrico Fermi
D. Richard Feynman","B","1","1","The question has been rephrased to 'Người đã phát triển Dự án Manhattan là ai?' which asks about a person. The correct answer 'Luis Walter Alvarez' is a person's name. The distractors 'J. Robert Oppenheimer', 'Enrico Fermi', and 'Richard Feynman' are also names of notable scientists, of the same type as the correct answer, and are not present in the forbidden database results list.","MATCH (nw:Notable_Work {name: ""Manhattan Project""})<-[:DEVELOPED]-(p:Person) RETURN p.name"
"Người nào sau đây đã từng sáng lập một tổ chức, tham gia vào một sự kiện và phát triển một công trình nổi bật?
A. Jody Williams
B. Marie Curie
C. Nelson Mandela
D. Linus Pauling","A","0","4","The question has been rephrased to ask for a single person (singular) who founded an organization, participated in an event, and developed a notable work, consistent with the Cypher query returning p.name. The correct answer is 'Jody Williams' (Person's name). The distractors 'Marie Curie', 'Nelson Mandela', and 'Linus Pauling' are all names of famous individuals/Nobel laureates (Person's name) and are not present in the forbidden database results list.","MATCH (e:Event)<-[:PARTICIPATED_IN]-(p:Person), (o:Organization)<-[:FOUNDED]-(p), (p)-[:DEVELOPED]->(nw:Notable_Work) RETURN p.name, o.name, nw.name"
