question,answer,answer_index,hops,thinking,cypher_query
"Nhà khoa học nào sau đây mang cùng quốc tịch với Johannes Stark?
A. Marie Curie
B. Linus Pauling
C. Nelson Mandela
D. Fritz Albert Lipmann",D,3,2,The rephrased question asks for the name of a person who shares nationality with Johannes Stark. The correct answer is 'Fritz Albert Lipmann'. The distractors are names of other famous people (also Nobel laureates or prominent figures) and are not present in the provided database's forbidden list.,"MATCH (p1:Person {name: ""Johannes Stark""})-[:IS_CITIZEN_OF]->(c:Country)<-[:IS_CITIZEN_OF]-(p2:Person) RETURN p2.name"
"Quốc gia nào có công dân từng đoạt giải Nobel Kinh tế?
A. Vương quốc Anh
B. Nhật Bản
C. Úc
D. Thụy Sĩ",A,0,3,"The question has been rephrased to ask about which country has a citizen who won the Nobel Prize in Economic Sciences. The correct answer is 'Vương quốc Anh' (United Kingdom), which is a country name. The distractors are also country names ('Nhật Bản', 'Úc', 'Thụy Sĩ') and are not present in the provided database results.","MATCH (a:Award {name: ""Prize in Economic Sciences in Memory of Alfred Nobel""})<-[:IS_INSTANCE_OF]-(ast:AwardStatement)<-[:RECEIVED]-(p:Person)-[:IS_CITIZEN_OF]->(c:Country) RETURN c.name"
"Ai trong số những người dưới đây làm việc cùng lĩnh vực với một người từng đoạt giải Nobel Kinh tế?
A. Thomas Piketty
B. Paul Krugman
C. Ha-Joon Chang
D. Jean-Jacques Laffont",B,1,4,"The rephrased question asks for a person who works in the same field as a Nobel laureate in Economic Sciences (singular form). The correct answer is 'Paul Krugman' (a person's name). The distractors are also names of people, are plausible choices in the context of economics/public figures, and have been carefully checked to ensure they are NOT present in the provided database results (forbidden list).","MATCH (a:Award {name: ""Prize in Economic Sciences in Memory of Alfred Nobel""})<-[:IS_INSTANCE_OF]-(ast:AwardStatement)<-[:RECEIVED]-(p1:Person)-[:WORKS_IN_FIELD]->(f:Field)<-[:WORKS_IN_FIELD]-(p2:Person) RETURN p2.name"
"Một trong những quốc gia mà công dân của họ từng được vinh danh với Giải Nobel Văn học là gì?
A. Argentina
B. Đức Quốc Xã
C. Brazil
D. Việt Nam",B,1,3,"The rephrased question asks for a country associated with Nobel Literature laureates. The correct answer is 'Đức Quốc Xã' (Nazi Germany), which is a country. The distractors are 'Argentina', 'Brazil', and 'Việt Nam', which are also countries and are not present in the prohibited database results list.","MATCH (a:Award {name: ""Nobel Prize in Literature""})<-[:IS_INSTANCE_OF]-(ast:AwardStatement)<-[:RECEIVED]-(p:Person)-[:IS_CITIZEN_OF]->(c:Country) RETURN c.name"
"Người nào dưới đây mang cùng quốc tịch với Otto Wallach?
A. Max Planck
B. Robert Koch
C. Albert Einstein
D. Gerhard Ertl",B,1,2,"The rephrased question asks about a person sharing the same nationality as Otto Wallach, making it singular. The Cypher query returns `p2.name`, indicating the answer should be a person's name. The correct answer 'Robert Koch' is a person's name. The distractors ('Max Planck', 'Albert Einstein', 'Gerhard Ertl') are also names of people, are plausible choices in the context of Nobel laureates, and are confirmed to NOT be present in the provided list of forbidden database results.","MATCH (p1:Person {name: ""Otto Wallach""})-[:IS_CITIZEN_OF]->(c:Country)<-[:IS_CITIZEN_OF]-(p2:Person) RETURN p2.name"
"Ai là một nhà khoa học có lĩnh vực nghiên cứu trùng với lĩnh vực của một người từng đoạt Giải thưởng Kinh tế của Ngân hàng Thụy Điển để tưởng nhớ Alfred Nobel?
A. Marie Curie
B. Stephen Hawking
C. Andrea M. Ghez
D. Charles Darwin",C,2,4,"The rephrased question asks about a person whose research field overlaps with that of a Nobel Economics laureate. The Cypher query returns a person's name. The correct answer 'Andrea M. Ghez' is a person's name from the database results. The distractors (Marie Curie, Stephen Hawking, Charles Darwin) are also names of people, are plausible choices, and are explicitly verified to NOT be in the provided database result list.","MATCH (a:Award {name: ""Prize in Economic Sciences in Memory of Alfred Nobel""})<-[:IS_INSTANCE_OF]-(ast:AwardStatement)<-[:RECEIVED]-(p1:Person)-[:WORKS_IN_FIELD]->(f:Field)<-[:WORKS_IN_FIELD]-(p2:Person) RETURN p2.name"
"Tổ chức nào sau đây đã tuyển dụng một người từng đoạt giải Nobel Hóa học?
A. Đại học Houston
B. Đại học New Mexico
C. Đại học Utah
D. Đại học Georgetown",C,2,3,"The question has been rephrased to ask about a specific organization that employed a Nobel Chemistry laureate, ensuring it's singular. The Cypher query returns organization names. The correct answer is 'University of Utah' (Đại học Utah). The distractors (Đại học Houston, Đại học New Mexico, Đại học Georgetown) are all organizations (universities) and have been verified not to be present in the provided database results.","MATCH (a:Award {name: ""Nobel Prize in Chemistry""})<-[:IS_INSTANCE_OF]-(ast:AwardStatement)<-[:RECEIVED]-(p:Person)-[:EMPLOYED_BY]->(o:Organization) RETURN o.name"
"Nhà khoa học nào sau đây đã làm việc trong cùng lĩnh vực với một người từng đoạt giải Nobel Sinh lý học và Y học?
A. Gertrude B. Elion
B. Isaac Newton
C. Louis Pasteur
D. Albert Einstein",A,0,4,"The rephrased question asks for a person who worked in the same field as a Nobel laureate in Physiology or Medicine. The correct answer is 'Gertrude B. Elion' (a person's name). The distractors are 'Isaac Newton', 'Louis Pasteur', and 'Albert Einstein', which are also names of famous people and have been verified not to be in the disallowed database results.","MATCH (a:Award {name: ""Nobel Prize in Physiology or Medicine""})<-[:IS_INSTANCE_OF]-(ast:AwardStatement)<-[:RECEIVED]-(p1:Person)-[:WORKS_IN_FIELD]->(f:Field)<-[:WORKS_IN_FIELD]-(p2:Person) RETURN p2.name"
"Ai là người có cùng quốc tịch với Alfred Hershey?
A. Jimmy Carter
B. Marie Curie
C. Nelson Mandela
D. Malala Yousafzai",A,0,2,"The rephrased question asks for a person who shares the same nationality (citizenship) with Alfred Hershey. The Cypher query returns `p2.name`, indicating a person's name is required. The correct answer is 'Jimmy Carter' (an American, like Alfred Hershey). The distractors 'Marie Curie', 'Nelson Mandela', and 'Malala Yousafzai' are all names of famous Nobel laureates from different countries, making them plausible but incorrect choices, and none of them are present in the provided list of database results.","MATCH (p1:Person {name: ""Alfred Hershey""})-[:IS_CITIZEN_OF]->(c:Country)<-[:IS_CITIZEN_OF]-(p2:Person) RETURN p2.name"
"Ai đã nghiên cứu trong cùng lĩnh vực với một nhà khoa học đoạt giải Nobel Hóa học?
A. John Pople
B. Isaac Newton
C. Charles Darwin
D. Galileo Galilei",A,0,4,"The rephrased question asks for a person's name who works in the same field as a Nobel Prize in Chemistry laureate. The correct answer 'John Pople' is a person's name. The distractors 'Isaac Newton', 'Charles Darwin', and 'Galileo Galilei' are also names of notable scientists, are of the same type (person's name), and are explicitly confirmed not to be in the forbidden database result list.","MATCH (a:Award {name: ""Nobel Prize in Chemistry""})<-[:IS_INSTANCE_OF]-(ast:AwardStatement)<-[:RECEIVED]-(p1:Person)-[:WORKS_IN_FIELD]->(f:Field)<-[:WORKS_IN_FIELD]-(p2:Person) RETURN p2.name"
